"query","search interest","increase percent"
"el mate",100,"2 %"
"que mate",62,"30 %"
"yerba",58,"-3 %"
"yerba mate",58,"-4 %"
"un mate",42,"20 %"
"termo",15,"-1 %"
"mate argentina",14,"1 %"
"termo mate",14,"8 %"
"mate cocido",13,"8 %"
"curar mate",12,"-20 %"
"mate stanley",12,"-20 %"
"stanley",11,"-20 %"
"stanley mate",11,"-20 %"
"negro mate",11,"3 %"
"mate calabaza",10,"5 %"
"mate madera",9,"-6 %"
"que es el mate",8,"30 %"
"bombilla mate",8,"3 %"
"mate de calabaza",7,"6 %"
"mate de madera",7,"-9 %"
"mates",6,"3 %"
"mate algarrobo",5,"40 %"
"color mate",5,"10 %"
"imperial mate",5,"-10 %"
"mate imperial",5,"-10 %"
"como curar un mate",5,"-10 %"
"mate listo",5,"5 %"
"jaque mate",5,"-40 %"
"fiesta del mate",4,"30 %"
"dibujo mate",4,"6 %"
"mate dibujo",4,"5 %"
"mate de algarrobo",4,"30 %"
"termo stanley",4,"-10 %"
"termo mate stanley",4,"-10 %"
"la leyenda de la yerba mate",4,"-10 %"
"leyenda de la yerba mate",4,"-10 %"
"mate argentino",3,"-5 %"
"mate grabado",3,"50 %"
"torpedo mate",3,"20 %"
"mate torpedo",3,"20 %"
"cebar mate",3,"-10 %"
"mate pampa",3,"-40 %"
"curar mate de madera",3,"-10 %"
"mate system stanley",3,"-10 %"
"stanley mate system",3,"-10 %"
"dibujo de mate",3,"8 %"
"dia del mate",3,"-1 %"
"mate cars",3,"-4 %"
"porta mate",2,"-20 %"
"imagen de mate",2,"30 %"